crowdedness,dhall,datetime
1,TC,2019-05-06 11:08:52.968013
1,BK,2019-05-06 11:10:56.278001
2,DC,2019-05-06 11:10:56.280004
0,ES,2019-05-06 11:10:56.282011
1,JE,2019-05-06 11:16:25.901007
0,SM,2019-05-06 11:16:25.902009
0,MY,2019-05-06 11:16:25.908015
0,SY,2019-05-06 11:26:01.320013
1,ES,2019-05-06 11:26:01.321014
3,DC,2019-05-06 11:31:38.115006
1,SM,2019-05-06 11:31:38.118010
1,MY,2019-05-06 11:31:38.121016
2,BK,2019-05-06 11:35:52.180002
2,GH,2019-05-06 11:35:52.183004
1,SY,2019-05-06 11:35:52.190011
2,MC,2019-05-06 11:44:44.324007
2,JE,2019-05-06 11:44:44.325008
2,PC,2019-05-06 11:44:44.325009
2,SM,2019-05-06 11:44:44.326010
2,TD,2019-05-06 11:44:44.326011
2,TC,2019-05-06 11:44:44.327014
2,BF,2019-05-06 11:44:44.327015
2,MY,2019-05-06 11:44:44.327016
3,BK,2019-05-06 11:46:30.254002
3,GH,2019-05-06 11:46:30.258004
3,JE,2019-05-06 11:46:30.261007
3,TD,2019-05-06 11:46:30.264010
2,SY,2019-05-06 11:46:30.265011
2,ES,2019-05-06 11:46:30.266012
3,BF,2019-05-06 11:46:30.268014
4,BK,2019-05-06 11:50:47.535002
3,MC,2019-05-06 11:50:47.537006
3,TC,2019-05-06 11:50:47.539013
5,BK,2019-05-06 11:56:50.294002
2,BR,2019-05-06 11:56:50.294003
4,MC,2019-05-06 11:56:50.296006
3,PC,2019-05-06 11:56:50.297008
3,SM,2019-05-06 11:56:50.298009
4,TD,2019-05-06 11:56:50.298010
3,SY,2019-05-06 11:56:50.298011
4,BF,2019-05-06 11:56:50.300014
3,MY,2019-05-06 11:56:50.300015
6,BK,2019-05-06 12:01:44.625003
4,GH,2019-05-06 12:01:44.629005
4,JE,2019-05-06 12:01:44.635008
4,SM,2019-05-06 12:01:44.637010
3,ES,2019-05-06 12:01:44.640013
4,TC,2019-05-06 12:01:44.641014
5,BF,2019-05-06 12:01:44.642015
4,MY,2019-05-06 12:01:44.643016
5,BK,2019-05-06 12:05:15.086002
3,GH,2019-05-06 12:05:15.088004
3,JE,2019-05-06 12:05:15.089007
3,SM,2019-05-06 12:05:15.090009
2,ES,2019-05-06 12:05:15.092012
3,TC,2019-05-06 12:05:15.092013
4,BF,2019-05-06 12:05:15.092014
3,MY,2019-05-06 12:05:15.093015
6,BK,2019-05-06 12:05:16.513063
4,GH,2019-05-06 12:05:16.516065
4,JE,2019-05-06 12:05:16.520068
4,SM,2019-05-06 12:05:16.522070
3,ES,2019-05-06 12:05:16.525073
4,TC,2019-05-06 12:05:16.525074
5,BF,2019-05-06 12:05:16.526075
4,MY,2019-05-06 12:05:16.527076
7,BK,2019-05-06 12:06:05.928001
3,BR,2019-05-06 12:06:05.930002
5,GH,2019-05-06 12:06:05.931003
5,MC,2019-05-06 12:06:05.934005
5,JE,2019-05-06 12:06:05.935006
5,TD,2019-05-06 12:06:05.939009
9,BK,2019-05-06 12:10:18.975098
4,DC,2019-05-06 12:10:18.981101
4,PC,2019-05-06 12:10:18.985104
5,SM,2019-05-06 12:10:18.986105
6,TD,2019-05-06 12:10:18.987106
4,SY,2019-05-06 12:10:18.988107
4,ES,2019-05-06 12:10:18.989108
5,TC,2019-05-06 12:10:18.990109
6,BF,2019-05-06 12:10:18.991110
5,MY,2019-05-06 12:10:18.992111
4,GH,2019-05-06 12:16:20.094004
4,MC,2019-05-06 12:16:20.095006
6,JE,2019-05-06 12:16:20.095007
7,TD,2019-05-06 12:16:20.096010
5,GH,2019-05-06 12:20:51.731005
6,TC,2019-05-06 12:20:51.735014
5,BF,2019-05-06 12:20:51.736015
10,BK,2019-05-06 12:25:33.522002
4,GH,2019-05-06 12:25:33.523004
5,MC,2019-05-06 12:25:33.524006
5,JE,2019-05-06 12:25:33.525007
9,BK,2019-05-06 12:32:08.702001
8,TD,2019-05-06 12:32:08.715009
3,SY,2019-05-06 12:32:08.716010
6,BF,2019-05-06 12:32:08.720013
5,GH,2019-05-06 12:35:28.801004
6,JE,2019-05-06 12:35:28.802007
9,TD,2019-05-06 12:35:28.803010
5,ES,2019-05-06 12:35:28.803012
4,MY,2019-05-06 12:35:28.804015
4,BR,2019-05-06 12:41:10.261002
3,DC,2019-05-06 12:41:10.262004
4,SY,2019-05-06 12:41:10.265010
5,MY,2019-05-06 12:41:10.268014
7,BK,2019-05-06 12:47:54.568002
3,BR,2019-05-06 12:47:54.569003
4,GH,2019-05-06 12:47:54.569004
4,DC,2019-05-06 12:47:54.569005
5,JE,2019-05-06 12:47:54.570007
4,SM,2019-05-06 12:47:54.570009
8,TD,2019-05-06 12:47:54.570010
5,TC,2019-05-06 12:47:54.571013
5,BF,2019-05-06 12:47:54.571014
