date,date_int,hall_id,name,is_weekend,is_family_dinner,start,end,average_occupancy,max_occupancy
2019-06-02,33,ES,Lunch,1,0,11:00,13:30,1.3777966628888891,5
2019-06-02,33,MC,Lunch,1,0,11:00,13:30,2.768170553333333,5
2019-06-02,33,MC,Dinner,1,1,17:00,19:00,4.237695273611111,6
2019-06-03,34,MC,Breakfast,0,0,07:30,10:30,0.030093980925925926,1
2019-06-03,34,ES,Lunch,0,0,11:30,13:30,2.5606647206944446,6
2019-06-03,34,MC,Lunch,0,0,11:30,13:30,4.694187219583333,7
2019-06-03,34,MC,Dinner,0,0,17:00,20:00,4.1173989791666665,5
2019-06-04,35,ES,Breakfast,0,0,07:30,10:30,1.3326174074074073,3
2019-06-04,35,MC,Breakfast,0,0,07:30,10:30,2.481202869444444,4
2019-06-04,35,ES,Lunch,0,0,11:30,13:30,2.1695155529166668,5
2019-06-04,35,MC,Lunch,0,0,11:30,13:30,4.391248606666666,8
2019-06-04,35,ES,Dinner,0,0,17:00,20:00,16.2565806437963,6
2019-06-04,35,MC,Dinner,0,0,17:00,20:00,2.841025925462963,5
2019-06-05,36,MC,Breakfast,0,0,07:30,10:30,2.1652644455555556,5
2019-06-05,36,MC,Lunch,0,0,11:30,13:30,3.492253322083333,6
2019-06-05,36,MC,Dinner,0,0,17:00,20:00,3.1603713865740737,5
2019-06-06,37,MC,Lunch,0,0,11:30,13:30,3.4327398590277776,7
2019-06-06,37,MC,Dinner,0,0,17:00,20:00,3.252326942777778,5
2019-06-07,38,MC,Breakfast,0,0,07:30,10:30,2.043652776388889,3
2019-06-07,38,MC,Lunch,0,0,11:30,13:30,3.702083192777778,6
2019-06-07,38,MC,Dinner,0,0,17:00,20:00,3.8361310163888884,5
2019-06-08,39,MC,Breakfast,1,0,08:00,10:30,0.9757018877777777,2
2019-06-08,39,MC,Lunch,1,0,11:00,13:30,1.8494721095555555,3
2019-06-08,39,MC,Dinner,1,0,17:00,19:00,2.0339540251388892,3
2019-06-09,40,ES,Breakfast,1,0,08:00,10:30,0.5477947763333334,1
2019-06-09,40,MC,Breakfast,1,0,08:00,10:30,1.0910455522222222,2
2019-06-09,40,ES,Lunch,1,0,11:00,13:30,0.9962094372222222,5
2019-06-09,40,MC,Lunch,1,0,11:00,13:30,2.0927197753333333,4
2019-06-09,40,ES,Dinner,1,1,17:00,19:00,10.09163499791667,6
2019-06-09,40,MC,Dinner,1,1,17:00,19:00,-23.848947503611114,8
2019-06-10,41,MC,Dinner,0,0,17:00,20:00,1.1049504614814816,4
2019-06-11,42,MC,Breakfast,0,0,07:30,10:30,2.3609024991666665,5
2019-06-11,42,MC,Lunch,0,0,11:30,13:30,3.6928044402777775,7
2019-06-11,42,MC,Dinner,0,0,17:00,20:00,3.6261402756481482,5
2019-06-12,43,ES,Breakfast,0,0,07:30,10:30,0.4733724062962963,1
2019-06-12,43,MC,Breakfast,0,0,07:30,10:30,2.5819287023148147,5
2019-06-12,43,ES,Lunch,0,0,11:30,13:30,0.705735137361111,1
2019-06-12,43,MC,Lunch,0,0,11:30,13:30,4.825633743611111,9
2019-06-12,43,MC,Dinner,0,0,17:00,20:00,11.840509442777774,7
2019-06-13,44,ES,Breakfast,0,0,07:30,10:30,0.5858885185185185,1
2019-06-13,44,ES,Lunch,0,0,11:30,13:30,0.8219666648611111,1
2019-06-14,45,ES,Breakfast,0,0,07:30,10:30,0.3454254619444444,1
2019-06-14,45,MC,Breakfast,0,0,07:30,10:30,1.4638215736111113,3
2019-06-14,45,MC,Dinner,0,0,17:00,20:00,1.7213446289814813,3
2019-06-15,46,MC,Breakfast,1,0,08:00,10:30,1.5249624427777777,3
2019-06-15,46,MC,Lunch,1,0,11:00,13:30,1.1811924427777776,3
2019-06-15,46,MC,Dinner,1,0,17:00,19:00,1.4576486090277778,3
2019-06-16,47,MC,Breakfast,1,0,08:00,10:30,1.0140714433333333,2
2019-06-16,47,BF,Lunch,1,0,11:00,13:30,1.0205552204444446,3
2019-06-16,47,MC,Lunch,1,0,11:00,13:30,1.9547788861111113,3
2019-06-16,47,BF,Dinner,1,1,17:00,19:00,2.3258530573611105,4
2019-06-16,47,DC,Dinner,1,1,17:00,19:00,6.425847224444444,9
2019-06-16,47,ES,Dinner,1,1,17:00,19:00,0.7924061112500002,1
2019-06-16,47,MC,Dinner,1,1,17:00,19:00,2.8175173566666665,4
2019-06-16,47,PC,Dinner,1,1,17:00,19:00,7.121377219027778,10
2019-06-17,48,ES,Breakfast,0,0,07:30,10:30,0.7315106471296297,1
2019-06-17,48,MC,Breakfast,0,0,07:30,10:30,1.7884801842592593,3
2019-06-17,48,BF,Breakfast,0,0,08:00,11:00,1.770240277962963,5
2019-06-17,48,DC,Breakfast,0,0,08:00,10:30,2.871673222,9
2019-06-17,48,PC,Breakfast,0,0,08:00,11:00,3.7019476851851856,10
2019-06-17,48,DC,Lunch,0,0,11:00,13:30,3.148098439777778,8
2019-06-17,48,BF,Lunch,0,0,11:30,13:30,2.6834873556944445,4
2019-06-17,48,ES,Lunch,0,0,11:30,13:30,0.7536366648611111,1
2019-06-17,48,MC,Lunch,0,0,11:30,13:30,4.238751519583333,9
2019-06-17,48,PC,Lunch,0,0,11:30,13:30,5.526230822222222,10
2019-06-17,48,BF,Dinner,0,0,17:00,19:30,2.8859738884444446,6
2019-06-17,48,DC,Dinner,0,0,17:00,19:30,4.282013998444445,9
2019-06-17,48,MC,Dinner,0,0,17:00,20:00,3.360154072962963,5
2019-06-17,48,PC,Dinner,0,0,17:00,19:30,21.631332667000002,10
2019-06-18,49,ES,Breakfast,0,0,07:30,10:30,0.4643746286111111,1
2019-06-18,49,MC,Breakfast,0,0,07:30,10:30,1.3276357399999998,3
2019-06-18,49,BF,Breakfast,0,0,08:00,11:00,1.3508241672222223,5
2019-06-18,49,DC,Breakfast,0,0,08:00,10:30,2.7633132233333333,9
2019-06-18,49,DC,Lunch,0,0,11:00,13:30,1.3725112206666665,8
2019-06-18,49,BF,Lunch,0,0,11:30,13:30,1.5791351352777776,5
2019-06-18,49,ES,Lunch,0,0,11:30,13:30,0.24124944291666667,1
2019-06-18,49,MC,Lunch,0,0,11:30,13:30,0.9430780534722223,3
2019-06-18,49,BF,Dinner,0,0,17:00,19:30,3.547374552444444,5
2019-06-18,49,DC,Dinner,0,0,17:00,19:30,5.495813775999999,8
2019-06-18,49,ES,Dinner,0,0,17:00,20:00,0.0,0
2019-06-18,49,MC,Dinner,0,0,17:00,20:00,3.7551769419444447,5
2019-06-19,50,MC,Breakfast,0,0,07:30,10:30,0.45375425861111107,1
2019-06-19,50,DC,Lunch,0,0,11:00,13:30,3.325990109444444,10
2019-06-19,50,BF,Lunch,0,0,11:30,13:30,2.3420358319444445,6
2019-06-19,50,ES,Lunch,0,0,11:30,13:30,1.3237293040277778,2
2019-06-19,50,MC,Lunch,0,0,11:30,13:30,3.494734859722222,8
2019-06-19,50,PC,Lunch,0,0,11:30,13:30,4.732021799166667,10
2019-06-19,50,BF,Dinner,0,0,17:00,19:30,2.5229885534444443,4
2019-06-19,50,DC,Dinner,0,0,17:00,19:30,6.056740332222222,10
2019-06-19,50,MC,Dinner,0,0,17:00,20:00,2.7133510167592596,3
2019-06-19,50,PC,Dinner,0,0,17:00,19:30,6.238187109333333,10
2019-06-20,51,ES,Breakfast,0,0,07:30,10:30,1.1269093510185184,3
2019-06-20,51,MC,Breakfast,0,0,07:30,10:30,2.078210092314815,3
2019-06-20,51,BF,Breakfast,0,0,08:00,11:00,0.5762933336111111,3
2019-06-20,51,DC,Breakfast,0,0,08:00,10:30,2.2132392226666666,9
2019-06-20,51,PC,Breakfast,0,0,08:00,11:00,2.858210741111111,10
2019-06-20,51,DC,Lunch,0,0,11:00,13:30,2.128204107777778,7
