"","DATE","date_int","hall_id","name","is_family_dinner","start","end","average_occupancy","max_occupancy","PRCP","TMAX","TMIN"
"163","2019-05-27",27,"MC","Lunch",0,"11:00","13:30",3.25653966477778,8,0,81,60
"164","2019-05-27",27,"MC","Dinner",0,"17:00","19:30",4.10829722077778,6,0,81,60
"165","2019-05-28",28,"MC","Lunch",0,"11:00","13:30",3.26995199966667,7,0.84,69,55
"166","2019-05-28",28,"MC","Dinner",0,"17:00","19:30",3.997426664,8,0.84,69,55
"167","2019-05-28",28,"MC","Breakfast",0,"08:00","11:00",2.43980564694444,4,0.84,69,55
"168","2019-05-29",29,"MC","Dinner",0,"17:00","19:30",3.61350910688889,5,0.93,65,51
"169","2019-05-29",29,"MC","Breakfast",0,"08:00","11:00",1.63203564768519,4,0.93,65,51
"170","2019-05-29",29,"MC","Lunch",0,"11:00","13:30",2.01966822055556,5,0.93,65,51
"171","2019-05-30",30,"MC","Breakfast",0,"08:00","11:00",1.32613407361111,3,0.59,66,56
"172","2019-05-30",30,"MC","Lunch",0,"11:00","13:30",2.63266322055556,6,0.59,66,56
"173","2019-05-30",30,"MC","Dinner",0,"17:00","19:30",3.47352044266667,5,0.59,66,56
"174","2019-05-31",31,"MC","Lunch",0,"11:00","13:30",3.28235721933333,7,0,78,60
"175","2019-05-31",31,"MC","Dinner",0,"17:00","19:30",3.12324755388889,5,0,78,60
"176","2019-05-31",31,"MC","Breakfast",0,"08:00","11:00",1.10204388777778,4,0,78,60
"177","2019-06-01",32,"ES","Lunch",0,"11:00","13:30",1.43286210822222,5,0,76,58
"178","2019-06-01",32,"MC","Lunch",0,"11:00","13:30",4.06973155388889,9,0,76,58
"179","2019-06-01",32,"ES","Breakfast",0,"08:00","11:00",0.804909721666667,3,0,76,58
"180","2019-06-01",32,"MC","Breakfast",0,"08:00","11:00",3.75812370092593,10,0,76,58
"181","2019-06-01",32,"MC","Dinner",0,"17:00","19:30",2.70929755366667,4,0,76,58
"182","2019-06-01",32,"ES","Dinner",0,"17:00","19:30",2.43864621755556,5,0,76,58
"183","2019-06-02",33,"MC","Breakfast",0,"08:00","11:00",1.61504675796296,3,0.08,74,59
"184","2019-06-02",33,"ES","Lunch",0,"11:00","13:30",1.37779666288889,5,0.08,74,59
"185","2019-06-02",33,"ES","Breakfast",0,"08:00","11:00",0.785561110555555,3,0.08,74,59
"186","2019-06-02",33,"MC","Dinner",1,"17:00","19:30",3.89677733266667,6,0.08,74,59
"187","2019-06-02",33,"MC","Lunch",0,"11:00","13:30",2.76817055333333,5,0.08,74,59
"188","2019-06-02",33,"ES","Dinner",1,"17:00","19:30",0.187696665444444,1,0.08,74,59
"189","2019-06-03",34,"MC","Breakfast",0,"08:00","11:00",0.196760647592593,1,0,72,51
"190","2019-06-03",34,"MC","Dinner",0,"17:00","19:30",4.140878775,5,0,72,51
"191","2019-06-03",34,"ES","Lunch",0,"11:00","13:30",2.04853177655556,6,0,72,51
"192","2019-06-03",34,"MC","Lunch",0,"11:00","13:30",3.75534977566667,7,0,72,51
"193","2019-06-04",35,"ES","Breakfast",0,"08:00","11:00",1.33261740740741,3,0,69,45
"194","2019-06-04",35,"ES","Dinner",0,"17:00","19:30",18.3078967725556,6,0,69,45
"195","2019-06-04",35,"MC","Breakfast",0,"08:00","11:00",2.68198999953704,4,0,69,45
"196","2019-06-04",35,"ES","Lunch",0,"11:00","13:30",1.73561244233333,5,0,69,45
"197","2019-06-04",35,"MC","Lunch",0,"11:00","13:30",3.51299888533333,8,0,69,45
"198","2019-06-04",35,"MC","Dinner",0,"17:00","19:30",2.64812277555556,5,0,69,45
"199","2019-06-05",36,"MC","Dinner",0,"17:00","19:30",2.79244566388889,5,0,78,63
"200","2019-06-05",36,"MC","Breakfast",0,"08:00","11:00",2.33193111222222,5,0,78,63
"201","2019-06-05",36,"MC","Lunch",0,"11:00","13:30",2.79380265766667,6,0,78,63
"202","2019-06-06",37,"MC","Breakfast",0,"08:00","11:00",0.122164814351852,1,0,85,66
"203","2019-06-06",37,"MC","Lunch",0,"11:00","13:30",2.74619188722222,7,0,85,66
"204","2019-06-06",37,"MC","Dinner",0,"17:00","19:30",3.30279233133333,5,0,85,66
"205","2019-06-07",38,"MC","Lunch",0,"11:00","13:30",2.96166655422222,6,0,76,60
"206","2019-06-07",38,"MC","Breakfast",0,"08:00","11:00",2.2428566662037,3,0,76,60
"207","2019-06-07",38,"MC","Dinner",0,"17:00","19:30",3.80335721966667,5,0,76,60
"208","2019-06-08",39,"MC","Dinner",0,"17:00","19:30",2.22716322011111,3,0,80,57
"209","2019-06-08",39,"MC","Breakfast",0,"08:00","11:00",1.14872879583333,2,0,80,57
"210","2019-06-08",39,"MC","Lunch",0,"11:00","13:30",1.80124910955556,3,0,80,57
"211","2019-06-09",40,"MC","Lunch",0,"11:00","13:30",2.09271977533333,4,0,74,53
"212","2019-06-09",40,"ES","Breakfast",0,"08:00","11:00",0.623162313611111,1,0,74,53
"213","2019-06-09",40,"MC","Breakfast",0,"08:00","11:00",1.24253796018519,2,0,74,53
"214","2019-06-09",40,"ES","Lunch",0,"11:00","13:30",0.996209437222222,5,0,74,53
"215","2019-06-09",40,"ES","Dinner",1,"17:00","19:30",8.27330799833334,6,0,74,53
"216","2019-06-09",40,"MC","Dinner",1,"17:00","19:30",-18.3683552241111,8,0,74,53
"217","2019-06-11",42,"MC","Dinner",0,"17:00","19:30",3.35136833077778,5,0.11,78,64
"218","2019-06-11",42,"MC","Breakfast",0,"08:00","11:00",2.52756916583333,5,0.11,78,64
"219","2019-06-11",42,"MC","Lunch",0,"11:00","13:30",2.95424355222222,7,0.11,78,64
"220","2019-06-12",43,"MC","Lunch",0,"11:00","13:30",3.86050699488889,9,0,76,53
"221","2019-06-12",43,"ES","Breakfast",0,"08:00","11:00",0.640039072962963,1,0,76,53
"222","2019-06-12",43,"MC","Breakfast",0,"08:00","11:00",2.77811740648148,5,0,76,53
"223","2019-06-12",43,"ES","Lunch",0,"11:00","13:30",0.564588109888889,1,0,76,53
"224","2019-06-12",43,"MC","Dinner",0,"17:00","19:30",2.01530866722222,5,0,76,53
"225","2019-06-13",44,"ES","Lunch",0,"11:00","13:30",0.657573331888889,1,0.43,64,56
"226","2019-06-13",44,"ES","Breakfast",0,"08:00","11:00",0.737367776759259,1,0.43,64,56
"227","2019-06-13",44,"MC","Breakfast",0,"08:00","11:00",2.85644240731481,4,0.43,64,56
"228","2019-06-13",44,"MC","Lunch",0,"11:00","13:30",3.22354788477778,7,0.43,64,56
"229","2019-06-13",44,"MC","Dinner",0,"17:00","19:30",2.89551321988889,4,0.43,64,56
"230","2019-06-14",45,"MC","Dinner",0,"17:00","19:30",1.94946855388889,3,0,74,55
"231","2019-06-14",45,"ES","Breakfast",0,"08:00","11:00",0.512092128611111,1,0,74,55
"232","2019-06-14",45,"MC","Breakfast",0,"08:00","11:00",1.63048824027778,3,0,74,55
