crowdedness,dhall,datetime
0,MC,2019-05-05 01:29:08.065006
0,JE,2019-05-05 01:29:08.066007
0,PC,2019-05-05 01:29:08.066008
0,SM,2019-05-05 01:29:08.066009
0,TD,2019-05-05 01:29:08.066010
0,SY,2019-05-05 01:29:08.066011
0,ES,2019-05-05 01:29:08.067012
0,TC,2019-05-05 01:29:08.067013
0,BF,2019-05-05 01:29:08.067014
0,PM,2019-05-05 01:29:08.067015
0,BK,2019-05-05 01:33:33.293002
0,BR,2019-05-05 01:33:33.293003
0,GH,2019-05-05 01:33:33.294004
0,DC,2019-05-05 01:33:33.294005
0,MC,2019-05-05 01:33:33.294006
0,JE,2019-05-05 01:33:33.295007
0,PC,2019-05-05 01:33:33.295008
0,SM,2019-05-05 01:33:33.295009
0,TD,2019-05-05 01:33:33.295010
0,SY,2019-05-05 01:33:33.295011
0,ES,2019-05-05 01:33:33.296012
0,TC,2019-05-05 01:33:33.296013
0,BF,2019-05-05 01:33:33.296014
0,PM,2019-05-05 01:33:33.296015
0,BK,2019-05-05 01:33:57.683002
0,BR,2019-05-05 01:33:57.683003
0,GH,2019-05-05 01:33:57.683004
0,DC,2019-05-05 01:33:57.684005
0,MC,2019-05-05 01:33:57.684006
0,JE,2019-05-05 01:33:57.685007
0,PC,2019-05-05 01:33:57.685008
0,SM,2019-05-05 01:33:57.685009
0,TD,2019-05-05 01:33:57.686010
0,SY,2019-05-05 01:33:57.686011
0,ES,2019-05-05 01:33:57.686012
0,TC,2019-05-05 01:33:57.686013
0,BF,2019-05-05 01:33:57.687014
0,PM,2019-05-05 01:33:57.687015
0,BK,2019-05-05 01:34:04.292002
0,BR,2019-05-05 01:34:04.293003
0,GH,2019-05-05 01:34:04.293004
0,DC,2019-05-05 01:34:04.293005
0,MC,2019-05-05 01:34:04.294006
0,JE,2019-05-05 01:34:04.294007
0,PC,2019-05-05 01:34:04.294008
0,SM,2019-05-05 01:34:04.295009
0,TD,2019-05-05 01:34:04.295010
0,SY,2019-05-05 01:34:04.295011
0,ES,2019-05-05 01:34:04.295012
0,TC,2019-05-05 01:34:04.296013
0,BF,2019-05-05 01:34:04.296014
0,PM,2019-05-05 01:34:04.296015
0,BK,2019-05-05 01:34:23.714002
0,BR,2019-05-05 01:34:23.714003
0,GH,2019-05-05 01:34:23.715004
0,DC,2019-05-05 01:34:23.715005
0,MC,2019-05-05 01:34:23.716006
0,JE,2019-05-05 01:34:23.716007
0,PC,2019-05-05 01:34:23.716008
0,SM,2019-05-05 01:34:23.716009
0,TD,2019-05-05 01:34:23.717010
0,SY,2019-05-05 01:34:23.717011
0,ES,2019-05-05 01:34:23.717012
0,TC,2019-05-05 01:34:23.717013
0,BF,2019-05-05 01:34:23.717014
0,PM,2019-05-05 01:34:23.718015
0,BK,2019-05-05 01:34:59.044002
0,BR,2019-05-05 01:34:59.044003
0,GH,2019-05-05 01:34:59.044004
0,DC,2019-05-05 01:34:59.045005
0,MC,2019-05-05 01:34:59.045006
0,JE,2019-05-05 01:34:59.045007
0,PC,2019-05-05 01:34:59.046008
0,SM,2019-05-05 01:34:59.046009
0,TD,2019-05-05 01:34:59.046010
0,SY,2019-05-05 01:34:59.046011
0,ES,2019-05-05 01:34:59.046012
0,TC,2019-05-05 01:34:59.047013
0,BF,2019-05-05 01:34:59.047014
